ID	E	EFINP	NOT	NFP	IAD	text
700471-01-01	0	0	0	0	0	Kudrow som band-mamma
700471-02-01	1	0	0	0	0	Nok et nei .
700471-02-02	1	0	0	0	0	Der havna vi rett inn i Disney Channels spøkelsestog for søt og ubrukt ungdom uten sjel .
700471-03-01	1	0	1	0	1	Hovedpersonen er en utiltalende , måpe-kyndig buskkvast-nerd som snakker ironisk til oss mens han viser bilder av normal ungdom .
700471-03-02	1	0	0	0	0	Det er faktisk litt irriterende , som når de impotente ler hånlig av de med ereksjon .
700471-04-01	0	0	0	0	0	Lisa Kudrow spiller mor nå .
700471-04-02	0	0	0	0	0	Hun og sønnen skal flytte til New Jersey , som er fantasilandet til Kevin Smith og Bruce Springsteen .
700471-04-03	1	0	1	0	1	Kudrow ser etter hvert ut som kvinnelig røyker på 47 år , slakk i munnmusklene og gusten i blikket .
700471-05-01	0	0	0	0	0	På den nye skolen skal de ha Bandslam .
700471-05-02	0	0	0	0	0	Nei , det er ikke 12-åringer med blokkfløyter som spruter søle på hverandre , men en orkester-konkurranse .
700471-05-03	1	0	1	0	1	Flytteren møter ei kul lita jente med strikkelue som ikke ville ha snakket med ham uten at hun var seriemorder .
700471-05-04	1	0	1	0	1	Den rare gutten organiserer band og setter sammen musikere som om han skulle være Phil Spector , men i så fall ville han ganske sikkert ha drukket vodka med solarolje og ligget med Hamlets mor , og her opptrer ikke mange handlingstekniske avvik .
700471-06-01	0	0	0	0	0	På slutten er David Bowie med som David Bowie .
700471-06-02	1	0	0	0	0	Det vil du ikke vite noe om .
